ID,N_VICTIMAS,FECHA,AÑO,MES,DIA,HORA,HORA_ENTERA,TIPO_DE_CALLE,CALLE,COMUNA,COORDINADA,LONGITUD,LATITUD,PARTICIPANTES,VICTIMA,ACUSADO,ROL,SEXO,EDAD
2016-0088,1,2016/07/11,2016,7,11,15:30:00,15,CALLE,CERETTI,12,Point (96492.89040317 106832.19475660),-58.50151750,-34.56767549,PEATON-AUTO,PEATON,AUTO,PEATON,F,70
2016-0089,1,2016/07/14,2016,7,14,6:40:00,6,AUTOPISTA,"LUGONES, LEOPOLDO AV.",13,Point (102842.06561704 108587.10659007),-58.43233425,-34.55185825,PEATON-AUTO,PEATON,AUTO,PEATON,M,35
2016-0090,1,2016/07/14,2016,7,14,22:00:00,22,AVENIDA,"SALGUERO, JERONIMO",5,Point (103997.04813615 102012.34139150),-58.41971993,-34.61112240,PEATON-PASAJEROS,PEATON,PASAJEROS,PEATON,M,60
2016-0092,1,2016/07/15,2016,7,15,11:00:00,11,GRAL PAZ,"PAZ, GRAL. AV.",13,Point (99620.34936816 110483.29286598),-58.46743471,-34.53476874,MOTO-CARGAS,MOTO,CARGAS,CONDUCTOR,M,24
2016-0093,1,2016/07/17,2016,7,17,3:30:00,3,AVENIDA,"ALBERDI, JUAN BAUTISTA AV.",6,Point (101804.61714036 100693.45218194),-58.44362126,-34.62301748,AUTO-AUTO,AUTO,AUTO,CONDUCTOR,M,35
2016-0095,1,2016/07/23,2016,7,23,6:12:00,6,AVENIDA,MERCEDES,11,Point (95061.77375682 103748.74085597),-58.51713095,-34.59546519,MOTO-AUTO,MOTO,AUTO,CONDUCTOR,M,29
2016-0096,1,2016/07/25,2016,7,25,7:00:00,7,AUTOPISTA,AUTOPISTA DELLEPIANE LUIS TTE. GRAL.,8,0,-58.47433193007387,-34.66684950051973,MOTO-CARGAS,MOTO,CARGAS,CONDUCTOR,M,SD
2016-0097,1,2016/07/26,2016,7,26,18:45:00,18,CALLE,SOLIS,1,Point (106687.13301820 101510.97040757),-58.39038605,-34.61562810,PEATON-AUTO,PEATON,AUTO,PEATON,M,80
2016-0098,1,2016/07/27,2016,7,27,16:08:00,16,AVENIDA,SAN JUAN AV.,3,Point (105765.97394356 100631.47718024),-58.40042405,-34.62356174,MOTO-CARGAS,MOTO,CARGAS,CONDUCTOR,F,43
2016-0099,1,2016/07/29,2016,7,29,16:00:00,16,GRAL PAZ,MOSCONI GENERAL AV.,11,Point (94486.28631712 103468.59928582),-58.52340614,-34.59798754,CARGAS-CARGAS,CARGAS,CARGAS,CONDUCTOR,M,45
2016-0100,1,2016/08/03,2016,8,3,23:27:00,23,GRAL PAZ,"PAZ, GRAL. AV.",12,Point (97098.48468623 109019.96106626),-58.49491054,-34.54795581,MOTO-OBJETO FIJO,MOTO,OBJETO FIJO,CONDUCTOR,M,57
2016-0101,1,2016/08/07,2016,8,7,19:42:00,19,GRAL PAZ,"PAZ, GRAL. AV.",9,Point (93946.81673714 97681.68907836),-58.52932872,-34.65014993,SD-SD,SD,SD,SD,M,67
2016-0102,1,2016/08/10,2016,8,10,23:37:00,23,AVENIDA,"PERON, EVA AV.",9,Point (96625.80612216 95129.90776954),-58.50011639,-34.67316502,MOTO-CARGAS,MOTO,CARGAS,CONDUCTOR,M,29
2016-0104,1,2016/08/14,2016,8,14,21:15:00,21,AVENIDA,ZINNY,9,Point (99720.41444035 97007.69579491),-58.46635001,-34.65624369,MOTO-PASAJEROS,MOTO,PASAJEROS,CONDUCTOR,M,21
2016-0105,1,2016/08/17,2016,8,17,0:05:00,0,AVENIDA,"LACROZE, FEDERICO AV.",15,Point (100905.28580812 104982.19279501),-58.45343236,-34.58435809,PEATON-PASAJEROS,PEATON,PASAJEROS,PEATON,M,19
